Epoch	Train_acc	Train_loss	Val_acc	Val_loss
1	0.933798766	0.178787854	0.896250004	0.283644354
2	0.9643668	0.103932688	0.929166669	0.229465389
3	0.966347647	0.094502496	0.922500008	0.261845514
4	0.968951696	0.087255908	0.924679482	0.243145776
5	0.970465159	0.082747285	0.919551277	0.282299659
6	0.972512794	0.076240699	0.918125004	0.269479396
7	0.97460494	0.070000771	0.93685897	0.241739905
8	0.976608056	0.066715334	0.928846157	0.227122833
9	0.976096147	0.066738697	0.925312507	0.259990284
10	0.976741594	0.065001948	0.933333331	0.240048547
